Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
313.15,1.5,6.6693,0.14994,-14.311,-14.086,-41.822,183.25,230.64,1079.2,-0.39001,338.84,0.11843,liquid
318.15,1.5,6.6265,0.15091,-13.155,-12.928,-38.153,185.09,232.64,1058.2,-0.38163,322.46,0.11696,liquid
323.15,1.5,6.5835,0.15189,-11.988,-11.76,-34.509,186.96,234.67,1037.3,-0.37301,307.21,0.11551,liquid
328.15,1.5,6.5402,0.1529,-10.811,-10.581,-30.89,188.84,236.73,1016.5,-0.36413,292.98,0.11406,liquid
333.15,1.5,6.4966,0.15393,-9.6235,-9.3926,-27.295,190.73,238.81,995.87,-0.35497,279.69,0.11263,liquid
338.15,1.5,6.4526,0.15498,-8.4257,-8.1933,-23.721,192.64,240.92,975.32,-0.34552,267.24,0.1112,liquid
343.15,1.5,6.4082,0.15605,-7.2174,-6.9833,-20.17,194.55,243.05,954.89,-0.33575,255.55,0.10979,liquid
348.15,1.5,6.3635,0.15715,-5.9984,-5.7627,-16.638,196.48,245.21,934.55,-0.32565,244.56,0.10839,liquid
353.15,1.5,6.3183,0.15827,-4.7686,-4.5312,-13.126,198.41,247.39,914.32,-0.31517,234.22,0.107,liquid
358.15,1.5,6.2727,0.15942,-3.5279,-3.2888,-9.6327,200.36,249.59,894.18,-0.30429,224.45,0.10563,liquid
363.15,1.5,6.2266,0.1606,-2.2762,-2.0353,-6.1571,202.3,251.81,874.13,-0.29298,215.22,0.10426,liquid
368.15,1.5,6.18,0.16181,-1.0134,-0.77065,-2.6984,204.25,254.05,854.16,-0.28118,206.49,0.10292,liquid
373.15,1.5,6.1328,0.16306,0.2607,0.50528,0.74402,206.2,256.32,834.26,-0.26886,198.21,0.10158,liquid
378.15,1.5,6.0851,0.16434,1.5461,1.7926,4.171,208.16,258.61,814.44,-0.25595,190.34,0.10026,liquid
383.15,1.5,6.0367,0.16565,2.843,3.0915,7.5832,210.11,260.93,794.68,-0.24239,182.87,0.098945,liquid
388.15,1.5,5.9877,0.16701,4.1515,4.402,10.981,212.06,263.28,774.97,-0.22812,175.75,0.097647,liquid
393.15,1.5,5.9379,0.16841,5.4717,5.7243,14.366,214.02,265.65,755.31,-0.21305,168.96,0.096361,liquid
